Ind_ID,Gender,Has a car,Has a property,Children count,Income,Employment status,Education level,Marital status,Dwelling,Employment length,Has a mobile phone,Has a work phone,Has a phone,Has an email,Job title,Family member count,Is high risk,Age_date
5009744,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,2025-02-11 11:11:26.391727,1,1,1,0,Laborers,2,1,2060-08-17 11:02:46.471042
5009746,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,2025-02-11 11:11:26.391727,1,1,1,0,Laborers,2,1,2067-06-05 19:15:21.385852
5009749,F,Y,N,0,191399.3262295082,Commercial associate,Higher education,Married,House / apartment,2025-02-11 11:11:26.391727,1,1,1,0,Laborers,2,1,2060-08-17 11:02:46.471042
5009752,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,2025-02-11 11:11:26.391727,1,1,1,0,Laborers,2,1,2060-08-17 11:02:46.471042
5009753,F,Y,N,0,315000.0,Pensioner,Higher education,Married,House / apartment,2025-02-11 11:11:26.391727,1,1,1,0,Laborers,2,1,2060-08-17 11:02:46.471042
5009754,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,2025-02-11 11:11:26.391727,1,1,1,0,Laborers,2,1,2060-08-17 11:02:46.471042
5018498,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,2026-04-03 11:11:26.391727,1,1,1,0,Cooking staff,2,1,2075-05-24 11:02:46.471042
5018501,F,Y,Y,0,191399.3262295082,Working,Secondary / secondary special,Married,House / apartment,2026-04-03 11:11:26.391727,1,1,1,0,Cooking staff,2,1,2075-05-24 11:02:46.471042
5018503,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,2026-04-03 11:11:26.391727,1,1,1,0,Cooking staff,2,1,2075-05-24 11:02:46.471042
5021310,M,N,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,2024-03-10 11:11:26.391727,1,0,0,0,Laborers,2,1,2069-10-08 11:02:46.471042
5021314,M,N,Y,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,2024-03-10 11:11:26.391727,1,0,0,0,Laborers,2,1,2069-10-08 11:02:46.471042
5021430,F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,2030-04-10 11:11:26.391727,1,0,0,0,Sales staff,1,1,2075-04-11 11:02:46.471042
5021431,F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,2030-04-10 11:11:26.391727,1,0,0,0,Sales staff,1,1,2075-04-11 11:02:46.471042
5021998,M,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,2028-01-05 11:11:26.391727,1,0,0,1,Laborers,2,1,2075-02-26 11:02:46.471042
5022053,M,N,N,0,202500.0,Working,Higher education,Single / not married,House / apartment,2035-05-11 11:11:26.391727,1,0,0,0,Laborers,1,1,2058-08-02 11:02:46.471042
5022617,M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,2028-02-04 11:11:26.391727,1,0,0,1,Laborers,2,1,2056-06-04 11:02:46.471042
5023781,M,N,Y,0,157500.0,Commercial associate,Higher education,Civil marriage,House / apartment,2026-06-26 11:11:26.391727,1,0,0,0,Accountants,2,1,2072-03-30 11:02:46.471042
5023831,F,N,Y,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,2026-01-16 11:11:26.391727,1,0,0,0,Sales staff,4,1,2056-09-25 11:02:46.471042
5024071,F,N,Y,0,180000.0,Working,Higher education,Married,House / apartment,2025-11-06 11:11:26.391727,1,0,0,0,Laborers,2,1,2067-04-02 11:02:46.471042
5025127,F,N,Y,0,292500.0,Working,Secondary / secondary special,Married,House / apartment,2032-09-06 11:11:26.391727,1,0,0,0,High skill tech staff,2,1,2053-12-06 11:02:46.471042
